Number of Trees,Max Depth of Each Tree,Programmed Optimization,Grid Search Optimization,Created Data Table Optimization,Preloaded Data Table Optimization
10,10,0.25104570388793945,0.3066112995147705,0.252061128616333,4.100799560546875e-05
10,20,0.6559042930603027,0.703606128692627,0.6547212600708008,5.221366882324219e-05
10,30,1.0863723754882812,1.1033029556274414,1.0784058570861816,5.6743621826171875e-05
10,40,1.487065315246582,1.496884822845459,1.493021011352539,6.4849853515625e-05
10,50,1.903674840927124,1.8576838970184326,1.9062104225158691,5.054473876953125e-05
10,60,2.307884454727173,2.254007577896118,2.3184900283813477,7.152557373046875e-05
10,70,2.7301480770111084,2.725228786468506,2.7364823818206787,5.1975250244140625e-05
10,80,3.156040668487549,3.0541436672210693,3.178405523300171,8.440017700195312e-05
10,90,3.5649256706237793,3.4429068565368652,3.580171585083008,7.939338684082031e-05
10,100,3.9859795570373535,3.963020086288452,3.9830241203308105,6.699562072753906e-05
