Number of Trees,Max Depth of Each Tree,Programmed Optimization,Grid Search Optimization,Created Data Table Optimization,Preloaded Data Table Optimization
10,10,0.23586153984069824,0.2747485637664795,0.22336554527282715,3.0994415283203125e-05
20,20,2.78096079826355,2.520345449447632,2.79396390914917,4.100799560546875e-05
30,30,10.829138278961182,9.324296236038206,10.836950302124023,8.845329284667969e-05
40,40,27.511439085006714,22.776841640472412,27.54119896888733,7.677078247070312e-05
50,50,56.04744911193848,46.49899244308472,56.186604976654046,9.846687316894533e-05
60,60,99.28650879859924,81.1963667869568,99.62122702598572,0.00013613700866699221
70,70,160.99723672866818,130.97854590415957,160.97114992141726,0.0001926422119140625
80,80,243.89581060409543,198.5472769737244,244.09006237983704,0.00018286705017089844
90,90,353.3457407951355,287.8621504306793,351.3143858909607,0.00022101402282714844
100,100,486.21304750442505,391.59314465522766,488.6137993335724,0.0002682209014892578
